TachographVehicleSpeed	AcceleratorPedalAPPosition1	BrakePedalPosition	CurrentGear	EngineSpeed	ActualEnginePercentTorque[percent]	EngineFuelRate	EngineCoolantTemperature	EngineOilTemperature[Celsius]	AmbientAirTemp[C]	HRVD_I_TotalVehiclDistancHighRes[m]	GPS_Altitude[m]	GPS_Latitude[deg_per_bit]	GPS_Longitude[deg_per_bit]	D_AxleWeight[kg]	
29,59765625	49,2	102	3	1101,625	24	10,6	85	90	25	139886960	940,75	-25,3952194	-49,2421206	6276	
29,796875	47,6	102	3	1110,625	23	10,55	85	90	25	139886960	940,75	-25,3952194	-49,2421206	5723	
30	49,6	0	3	1117,625	26	11,9	85	90	25	139886975	941,625	-25,3953324	-49,2421668	5511	
30,19921875	46,8	0	3	1124,5	24	10,6	85	90	25	139886975	941,25	-25,3953324	-49,2421668	7565	
30,3984375	47,2	0	3	1132	22	10,55	85	90	25	139887000	941,25	-25,3953807	-49,2422841	6053	
30,59765625	47,6	0	3	1134,625	23	9,9	85	90,53125	25	139887000	940,625	-25,3953807	-49,2422841	5690	
30,69921875	46,4	102	3	1139,25	18	8,45	85	90,53125	25	139887000	940,625	-25,39554	-49,2424596	5575	
30,8984375	44,8	102	3	1146	18	8,15	85	90,53125	25	139887020	940,125	-25,3955987	-49,2425114	7933	
31,09765625	44	0	3	1153,875	17	8,1	85	90,53125	25	139887020	939,75	-25,3955987	-49,2425114	6221	
31,09765625	40,8	0	3	1155,75	14	6,4	85	90,96875	24,90625	139887045	939,125	-25,3957146	-49,2426168	5832	
30,8984375	34	0	3	1148	8	3,7	85	90,96875	24,90625	139887045	939	-25,3957146	-49,2426168	5511	
30,5	39,6	0	3	1138,375	10	4,8	85	90,96875	24,90625	139887055	938,875	-25,3958381	-49,2427263	7590	
30,296875	40,4	0	3	1123	13	5,6	85	90,96875	24,90625	139887055	939,25	-25,3958381	-49,2427263	6158	
30,09765625	40,4	0	3	1134,25	16	7,2	85	90,96875	24,90625	139887070	939,25	-25,3958962	-49,2427843	5924	
30	34	0	3	1107,125	18	6,25	85	90,96875	24,90625	139887070	939	-25,3958962	-49,2427843	5550	
